,Kanji,Reading,Meaning,Frequency
47,偶々,たまたま,"[1] by chance; by accident; accidentally; happen to (be, do); unexpectedly; casually [2] occasionally; once in a while; now and then",719.0
48,堪らない,たまらない,[1] intolerable; unbearable; unendurable [2] irresistible; tremendous; out of this world [3] cannot help (doing); cannot but do; anxious to do; cannot get enough of,
49,試し,ためし,trial; test,
50,試す,ためす,to try (out); to have a try (at); to test; to put to the test,1854.0
51,便り,たより,news; tidings; information; correspondence; letter,
52,頼る,たよる,to rely on; to depend on; to count on; to turn to (for help),2633.0
53,単位,たんい,"[1] unit; denomination [2] credit (in school) [3] in units of (e.g. ""in thousands""); in amounts of",3105.0
54,単語,たんご,word; vocabulary,3338.0
55,単純,たんじゅん,simple; plain; uncomplicated; straightforward; simple-minded; naive,1591.0
56,誕生,たんじょう,birth; creation; formation,1825.0
57,担当,たんとう,"being in charge (of an area of responsibility); being responsible (for a work role, etc.)",1564.0
58,単なる,たんなる,mere; simple; sheer,2399.0
59,単に,たんに,simply; merely; only; solely,1496.0
60,題,だい,[1] title; subject; theme; topic [2] problem (on a test); question [3] counter for questions (on a test),
61,台,だい,[1] stand; rest; base; pedestal; platform; table; holder; support; rack [2] setting (of a gem); mounting [3] stock (in grafting),4165.0
62,代金,だいきん,price; cost; charge; payment; bill; fee,
63,大臣,だいじん,cabinet minister,2595.0
64,大統領,だいとうりょう,[1] president (of a country) [2] big man; boss; buddy; mate,3578.0
65,代表,だいひょう,[1] representation; representative; delegate; delegation [2] exemplification; typification; being representative of; being typical of; representative example; exemplar; model [3] leader,1458.0
66,大部分,だいぶぶん,most part; greater part; majority,3439.0
67,,ダイヤ,diamond,
68,代理,だいり,[1] representation; agency; proxy [2] proxy; agent; representative; deputy; substitute; surrogate; stand-in,
69,,だが,but; however; (and) yet; nevertheless; still; for all that,612.0
70,,だけど,but; however; although,3889.0
71,,だって,[1] after all; because [2] but [3] even,2193.0
72,黙る,だまる,to be silent; to say nothing,1684.0
73,駄目,だめ,[1] no good; not serving its purpose; useless; broken [2] hopeless; wasted; in vain; purposeless [3] cannot; must not; not allowed,476.0
74,段,だん,[10] matter; occasion [11] degree; extent [12] counter for breaks in written language or speech,
75,男子,だんし,[1] boy [2] man; male,2944.0
76,,ダンス,dance; dancing,4122.0
77,団体,だんたい,[1] group; party; team [2] organization; organisation; association; group; body; society [3] Dantai,2174.0
78,地,ち,[1] earth; ground; land; soil [2] place [3] territory,1267.0
79,地位,ちい,"[1] (social) position; status; standing [2] position (in a company, organization, etc.); post; rank",2416.0
80,地域,ちいき,area; region; district; locality,508.0
81,知恵,ちえ,[1] wisdom; wit; sagacity; sense; intelligence [2] prajna (insight leading to enlightenment),2463.0
82,地下,ちか,"[1] underground; below the ground [2] world of the dead; the grave [3] underground (activities, movement, etc.); secret; illegal; in hiding",3143.0
83,近頃,ちかごろ,[1] lately; recently; nowadays [2] terribly; awfully; extremely,4283.0
84,違い,ちがい,[1] difference; distinction; discrepancy [2] mistake; error,649.0
85,違いない,ちがいない,sure; no mistaking it; for certain; without doubt,
86,地球,ちきゅう,Earth; the globe,1010.0
87,地区,ちく,district; area; zone; quarter; section; region,3665.0
88,遅刻,ちこく,lateness; tardiness; arriving late,
89,知識,ちしき,knowledge; information,1097.0
90,知事,ちじ,prefectural governor,
91,父親,ちちおや,father,662.0
92,知能,ちのう,intelligence; intellect; brains,
93,地平線,ちへいせん,horizon (related to land),
94,地方,ちほう,[1] district; region; area; locality [2] the country; countryside; the provinces; rural area [3] civilian society,1280.0
95,茶,ちゃ,[1] tea [2] tea plant (Camellia sinensis) [3] tea preparation; making tea,816.0
96,,チャンス,chance; opportunity,1870.0
97,,ちゃんと,[1] diligently; seriously; earnestly; reliably; steadily; legitimately [2] perfectly; properly; exactly; orderly; punctually; regularly; safely; in good condition [3] sufficiently; satisfactorily,533.0
98,注,ちゅう,annotation; explanatory note; comment,1302.0
99,中,ちゅう,"[1] medium (size); average (grade, level, etc.); middle [2] in; within; out of (e.g. ten people); among [3] during; while; in (the course of); within (a period); throughout",
100,中央,ちゅうおう,[1] centre; center; middle; heart [2] capital; seat of government [3] Chuuou,2279.0
101,中学,ちゅうがく,junior high school; middle school; lower secondary school,1317.0
102,中古,ちゅうこ,[1] used; second-hand; old [2] Middle Ages (in Japan esp. Heian period),
103,中止,ちゅうし,[1] interruption; discontinuance; suspension; stoppage [2] cancellation (of a planned event); calling off,3334.0
104,駐車,ちゅうしゃ,parking (a vehicle),
105,昼食,ちゅうしょく,lunch; midday meal,3958.0
106,中心,ちゅうしん,[1] center; centre; middle; heart; core; focus; pivot; emphasis; balance [2] -centered; -centred; -focused; -oriented; centered on; focused on,525.0
107,注目,ちゅうもく,notice; attention; observation,1363.0
108,注文,ちゅうもん,[1] order (for an item) [2] request; demand; condition,2061.0
109,長期,ちょうき,long-term,4351.0
110,調査,ちょうさ,investigation; examination; inquiry; enquiry; survey,989.0
111,調子,ちょうし,[1] tune; tone; key; pitch; time; rhythm [2] vein; mood; way; manner; style; knack [3] condition; state of health; shape,1599.0
112,頂上,ちょうじょう,top; summit; peak,4781.0
113,頂戴,ちょうだい,[1] receiving; getting; accepting; being given [2] eating; drinking; having [3] please (give me; do for me),
114,貯金,ちょきん,[1] putting money aside; savings; deposit (e.g. in a bank) [2] accumulated surplus of wins; wins in the bank,4181.0
115,直接,ちょくせつ,direct; immediate; personal; firsthand,817.0
116,著者,ちょしゃ,author (usu. of a particular book); writer,4036.0
117,,チーズ,[1] cheese [2] tee (piping); T-joint [3] cheese (said when taking a photograph),3484.0
118,,チーム,team,1237.0
119,対,つい,[1] pair; couple; set [2] antithesis [3] counter for items that come in pairs,1488.0
120,遂に,ついに,[1] finally; in the end; at last [2] in the end; after all; never (happened),1501.0
121,通過,つうか,"[1] passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit [2] passage (of a bill, e.g. through parliament); carriage [3] passing (an examination, inspection, etc.); clearing; getting through (a preliminary round); qualification",3075.0
122,通行,つうこう,[1] passage (of people or vehicles); passing (through); traffic [2] common usage; widespread use,
123,通信,つうしん,correspondence; communication; transmission; news; signal; telecommunications,4327.0
124,通じる,つうじる,"[1] to be open (to traffic); to lead to; to communicate (with) [2] to flow (liquid, current); to pass; to get through to [3] to be understood; to be comprehended",1217.0
125,捕まる,つかまる,[1] to be caught; to be arrested [2] to hold on to; to grasp [3] to find (e.g. proof); to get (e.g. a taxi),3454.0
126,掴む,つかむ,[1] to seize; to catch; to grasp; to grip; to grab; to clutch; to hold; to catch hold of; to lay one's hands on [2] to obtain; to acquire; to get; to win; to capture [3] to understand; to grasp; to comprehend,1672.0
127,疲れ,つかれ,tiredness; fatigue,3208.0
128,月,つき,[1] Moon [2] month [3] moonlight,937.0
129,付き合い,つきあい,association; socializing; socialising; fellowship,1437.0
130,次々,つぎつぎ,in succession; one by one,1809.0
131,就く,つく,"[1] to take (seat, position, course, office, etc.); to assume; to be hired; to be employed [2] to ascend (the throne); to accede [3] to start (on a journey); to commence; to depart",
132,注ぐ,つぐ,"to pour (into a vessel); to fill (a cup, bowl, etc.) with; to dish out (food or drink)",
133,土,つち,"[1] earth; soil; dirt; clay; mud [2] the earth (historically, esp. as opposed to the heavens); the ground; the land [3] low-quality torinoko-gami (containing mud)",1489.0
134,包み,つつみ,[1] bundle; package; parcel [2] counter for wrapped objects,
135,続き,つづき,"[1] continuation; rest (of the story, work, etc.); next installment; sequel [2] flow (e.g. of a piece of writing); pacing (of a story) [3] succession (of); sequence; series; spell; stretch; streak; run",
136,勤め,つとめ,[1] service; duty; business; responsibility; task [2] Buddhist religious services,
137,繋ぐ,つなぐ,[1] to connect; to link together [2] to tie; to fasten; to restrain [3] to maintain; to preserve; to keep,1836.0
138,常に,つねに,always; constantly,
139,角,つの,[1] horn; antler [2] antenna; feeler; tentacle (e.g. of a snail) [3] horn-like projection (e.g. peaks of whipped cream),
140,翼,つばさ,"[1] wing [2] Chinese ""Wings"" constellation (one of the 28 mansions) [3] counter for birds or bird wings",
141,詰まり,つまり,"[1] that is to say; that is; in other words; I mean; that (this, it) means [2] in short; in brief; to sum up; ultimately; in the end; in the long run; when all is said and done; what it all comes down to; when you get right down to it; basically [3] clogging; obstruction; stuffing; (degree of) blockage",421.0
142,罪,つみ,[1] crime; sin; wrongdoing; indiscretion [2] penalty; sentence; punishment [3] fault; responsibility; culpability,2172.0
143,詰める,つめる,[10] to do completely; to do thoroughly [11] to force someone into a difficult situation by ... [1] to stuff into; to jam; to cram; to pack; to fill; to plug; to stop up,2831.0
144,梅雨,つゆ,"[1] (East Asian) rainy season (in Japan, usu. from early June to mid-July) [2] rain during the rainy season",
145,辛い,つらい,[1] painful; bitter; heart-breaking; difficult (emotionally) [2] tough; difficult; hard (usu. of situations) [3] cruel; harsh; cold,522.0
146,釣り,つり,[1] fishing; angling [2] change (for a purchase) [3] clickbaiting,2140.0
147,連れ,つれ,[1] companion; company [2] tritagonist; second supporting character,
148,提案,ていあん,proposal; proposition; suggestion,1830.0
149,定期,ていき,[1] fixed period; fixed term [2] regular; periodic; periodical [3] fixed-term commuter pass,
150,抵抗,ていこう,[1] resistance; opposition; standing up to [2] reluctance; repulsion; repugnance [3] resistance; drag; friction,2325.0
151,提出,ていしゅつ,"presentation (of documents); submission (of an application, report, etc.); production (e.g. of evidence); introduction (e.g. of a bill); filing; turning in",1421.0
152,程度,ていど,degree; amount; grade; standard; of the order of (following a number); about; approximately,460.0
153,停留所,ていりゅうじょ,"stop (bus, tram, etc.); station; stopping place",
154,敵,てき,[1] opponent; rival; adversary [2] menace; danger; threat; enemy,1465.0
155,適する,てきする,to fit; to suit,3146.0
156,適切,てきせつ,appropriate; suitable; fitting; apt; proper; right; pertinent; relevant,1758.0
157,適度,てきど,moderate (degree); proper (amount); temperate; suitable,4943.0
158,適用,てきよう,"application (of a rule, law, method, etc.)",1548.0
159,手品,てじな,magic (illusion); conjuring; magic trick; conjuring trick; sleight of hand,
160,徹底,てってい,"[1] thoroughness; completeness; consistency [2] thorough enforcement; seeing to it that a policy, etc. is carried out without exception",3137.0
161,鉄,てつ,"[1] iron (Fe) [2] steel [3] iron (will, discipline, lady, etc.)",2650.0
162,哲学,てつがく,philosophy,4218.0
163,手伝い,てつだい,[1] helper; assistant [2] help; assistance,2859.0
164,鉄道,てつどう,railroad; railway; rail transport,3017.0
165,徹夜,てつや,staying up all night,
166,手間,てま,time; labour; labor,3180.0
167,典型,てんけい,type; pattern; model; epitome; exemplar; archetype; perfect example,
168,天候,てんこう,weather,4412.0
169,,テント,tent,2313.0
170,天然,てんねん,[1] nature; spontaneity [2] natural airhead,
171,出会い,であい,[1] meeting; rendezvous; encounter [2] meeting for the first time; coming across [3] confluence,1728.0
172,出会う,であう,"[1] to meet (by chance); to come across; to run across; to encounter; to happen upon [2] to meet (e.g. of rivers, highways, etc.) [3] to emerge and engage (an enemy)",964.0
173,出来事,できごと,occurrence; happening; incident; event,1193.0
174,出来るだけ,できるだけ,as much as one can; as much as possible; if at all possible,
175,,ですから,so; therefore; accordingly; consequently; on those grounds; that is why; for that reason,376.0
176,,デモ,[1] demonstration; protest [2] (giving a) demo; demonstration; presentation,
177,電子,でんし,[1] electron [2] electronic,
178,伝統,でんとう,tradition; convention,2464.0
179,,デート,[1] date (with someone); (social) outing (for two); date night [2] date (day),3861.0
180,,と,[1] if; when [2] and [3] with,
181,,ト,[1] 7th (in a sequence denoted by the iroha system) [2] G (note),
182,問い,とい,question; query,3701.0
183,党,とう,[1] party (political) [2] person who is fond of; fan of,
184,塔,とう,[1] tower; steeple; spire [2] stupa; pagoda; dagoba,4965.0
185,答案,とうあん,[1] examination paper; examination script; answer sheet [2] answer (to an exam question),
186,当時,とうじ,[1] at that time; in those days [2] Touji,274.0
187,到着,とうちゃく,arrival,1849.0
188,投票,とうひょう,voting; ballot; poll; vote,
189,通す,とおす,[10] to force to accept; to force agreement [11] to continue (in a state); to persist in [12] to do to the entirety of; to cover all of; to span the whole ...,898.0
190,通り,とおり,[10] Toori [1] street; road; avenue; thoroughfare [2] traffic; coming and going,406.0
191,通り過ぎる,とおりすぎる,to go past; to pass; to pass by,3763.0
192,都会,とかい,[1] city [2] Tokyo Metropolitan Assembly,1945.0
193,時,とき,[1] time; hour; moment [2] occasion; case [3] chance; opportunity; season,54.0
194,解く,とく,[1] to untie; to unfasten; to unwrap; to undo; to unbind; to unpack [2] to unsew; to unstitch [3] to solve; to work out; to answer,3070.0
195,得意,とくい,[1] satisfaction; pride; triumph; elation [2] one's strong point; one's forte; one's specialty [3] regular customer; regular client; patron,1913.0
196,特徴,とくちょう,feature; trait; characteristic; peculiarity; distinction,833.0
197,解ける,とける,"[1] to be solved; to be resolved [2] to loosen; to come untied; to come undone [3] to be removed (of restrictions); to be lifted (e.g. a ban); to be broken (spells, curses, etc.)",
198,所が,ところが,even so; however; still; whereupon; even though; nevertheless; on the contrary; as a matter of fact; despite,552.0
199,所で,ところで,"[1] by the way; incidentally; well; now [2] even if; no matter (what, where, how, etc.)",2155.0
200,登山,とざん,mountain climbing; mountaineering; ascent of a mountain,
201,都市,とし,town; city; municipal; urban,1569.0
202,年月,としつき,months and years,
203,図書,としょ,books,
204,年寄り,としより,[1] old person; elderly person; senior citizen [2] trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay [3] senior statesman (of the Tokugawa shogunate),3282.0
205,閉じる,とじる,"to close (e.g. book, eyes, meeting, etc.); to shut",2055.0
206,途端,とたん,"just (now, at the moment, etc.); just as; in the act of; as soon as; at the moment that",2004.0
207,土地,とち,[1] plot of land; lot; soil [2] locality; region; place,745.0
208,,トップ,[1] top [2] top position [3] senior management; senior bureaucrat,2354.0
209,突然,とつぜん,abrupt; sudden; unexpected,852.0
210,届く,とどく,[1] to reach; to touch; to get to; to carry (of sound) [2] to be delivered; to arrive [3] to be attentive; to be scrupulous; to be thorough,1146.0
211,兎に角,とにかく,[1] anyway; anyhow; at any rate; in any case; at least; just [2] setting aside ...; regardless of ... [3] really; truly; certainly; definitely; undeniably,381.0
212,飛ばす,とばす,[10] to attack (e.g. with a leg manoeuvre) [11] to do vigorously; to do roughly; to do energetically [1] to let fly; to make fly; to send flying; to blow off (e.g. in the wind); to launch; to fire; to hurl; to shoot,2732.0
213,飛び出す,とびだす,[1] to jump out; to leap out; to fly out; to run out; to rush out; to bolt out [2] to appear (suddenly); to emerge; to come out [3] to protrude; to project; to jut out; to stick out,2367.0
214,友,とも,[1] friend; companion; comrade; pal [2] accompaniment; companion (e.g. book); complement; accessory,3789.0
215,共に,ともに,[1] together; jointly [2] at the same time; with; as ...; including; along with [3] both,
216,,トラック,truck; lorry,2502.0
217,,トランプ,(Western) playing cards,
218,取り上げる,とりあげる,[1] to pick up [2] to adopt (a proposal); to take up (a topic); to accept; to listen to [3] to take issue with; to make a problem of; to bring up (as a point of criticism),1258.0
219,取れる,とれる,"[1] to come off (of a button, handle, lid, etc.) [2] to go away (of a fever, pain, swelling, etc.); to disappear; to come out (of a stain); to come off (e.g. of dust); to be removed (e.g. of wrinkles) [3] to be harvested; to be picked; to be produced; to be caught (of fish); to be obtained; to be extracted",570.0
220,屯,トン,"ton (esp. a metric ton, i.e. 1000 kg); tonne",
221,,とんでもない,[1] unthinkable; unexpected; absurd; outrageous; preposterous; terrible [2] absolutely not!; far from it!; impossible!; preposterous!; what a thing to say!; no way! [3] (it was) no bother at all; not at all; don't mention it,
222,,トンネル,[1] tunnel [2] to tunnel (through a potential barrier) [3] letting a grounder go through one's legs,4642.0
223,度,ど,"[1] degree (angle, temperature, scale, etc.) [2] counter for occurrences [3] strength (of glasses); glasses prescription",
224,度,ど,[1] precisely; exactly; plumb; totally; very much [2] damn; stupid; cursed,
225,同一,どういつ,[1] identical; same; one and the same; equal [2] fair; equal treatment; without discrimination,4901.0
226,銅貨,どうか,copper coin,
227,動詞,どうし,verb,
228,如何しても,どうしても,[1] by all means; at any cost; no matter what; at any rate; surely [2] whether (one is) willing or not; willingly or unwillingly; willy-nilly [3] on no account; by no means,510.0
229,同時,どうじ,[1] same time [2] simultaneous; concurrent; synchronous,605.0
230,道徳,どうとく,morals; morality,
231,同様,どうよう,same; similar; (just) like; equal,945.0
232,同僚,どうりょう,coworker; co-worker; colleague; associate,3467.0
233,道路,どうろ,road; highway,1072.0
234,毒,どく,[1] poison; toxicant [2] harm; evil influence [3] ill will; spite; malice,
235,読書,どくしょ,reading (books),4006.0
236,独身,どくしん,single; unmarried,4860.0
237,独特,どくとく,[1] peculiarity; uniqueness; characteristic [2] understood only by oneself,2743.0
238,独立,どくりつ,[1] independence; self-reliance; supporting oneself; being on one's own [2] independence (e.g. of a nation); freedom [3] separation; isolation,2011.0
239,何処か,どこか,[1] somewhere [2] in some respects; in some way,
240,,ドライブ,[1] drive; trip by car; driving [2] to (go for a) drive; to go on a trip by car [3] to drive (e.g. a car),4318.0
241,,ドラマ,[1] (non-documentary) television series; TV drama; teledrama; play [2] drama; dramatic incident; spectacle; tragedy [3] Dhrama (Greece),1611.0
242,努力,どりょく,effort; exertion; endeavour; endeavor; hard work; striving,799.0
243,,ドレス,dress,
244,泥,どろ,[1] mud; (wet) dirt [2] thief [3] Android (mobile operating system),
245,,どんな,[1] what kind of; what sort of; what [2] no matter what (kind of); whatever; any; all,322.0
246,,どんなに,[1] how; how much; to what extent [2] no matter how (much); however,
0,名,な,[1] name; given name [2] title [3] fame; renown; reputation,995.0
1,内容,ないよう,contents; content; substance; matter; detail; import,407.0
2,直,なお,[1] straight [2] ordinary; common [3] doing nothing,639.0
3,仲,なか,relation; relationship,1821.0
4,中々,なかなか,[1] very; considerably; easily; readily; fairly; quite; highly; rather [2] by no means; not readily [3] middle; half-way point,297.0
5,半ば,なかば,"[1] middle; halfway; midway [2] half (of); one half [3] half (e.g. done, jokingly); partly; in part; partially",3307.0
6,仲間,なかま,"[1] companion; fellow; friend; mate; comrade; partner; colleague; coworker; associate [2] group; company; circle; set; gang [3] member of the same category (family, class)",1095.0
7,流す,ながす,[10] to exile; to banish [11] to hit (the ball) to the opposite field [12] to do inattentively; to do without concentrating; to put little effort into doing,1054.0
8,眺め,ながめ,scene; view; prospect; outlook,
9,眺める,ながめる,[1] to look at; to gaze at; to watch; to stare at [2] to look out over; to get a view of; to admire (e.g. the scenery) [3] to look on (from the sidelines); to stand by and watch; to observe,1197.0
10,流れ,ながれ,"[1] flow (of a fluid or gas); stream; current [2] flow (of people, things); passage (of time); tide; passing; (changing) trends; tendency [3] course (of events); (step-by-step) procedure; process",902.0
11,流れる,ながれる,"[1] to stream; to flow (liquid, time, etc.); to run (ink) [2] to be washed away; to be carried [3] to drift; to float (e.g. clouds); to wander; to stray",674.0
12,無し,なし,[1] without [2] unacceptable; not alright; unsatisfactory [3] nonexistent,1061.0
13,何故なら,なぜなら,because; the reason is; if you want to know why,
14,謎,なぞ,[1] riddle; puzzle; enigma; mystery [2] enigmatic; mysterious,2988.0
15,納得,なっとく,[1] consent; agreement; acceptance [2] understanding; satisfaction (e.g. with an explanation); being convinced,1297.0
16,何か,なにか,[1] something; some; any [2] somehow; for some reason [3] (so) what (are you trying to say)?; what (do you mean)?,
17,何も,なにも,[1] (not) anything; (nothing) at all; (not) any; nothing [2] and everything else; and all [3] (not) at all; (not) in the least; (not) especially; (not) to that extent,
18,鍋,なべ,[1] pan; pot; saucepan [2] stew; hot pot,1622.0
19,生,なま,[10] insufficient; incomplete; half-baked; half-hearted; perfunctory [11] cash [12] tipsiness,1767.0
20,怠ける,なまける,[1] to be lazy; to be idle; to slack [2] to neglect (e.g. one's work); to be neglectful of; to skip (e.g. school),
21,波,なみ,[1] wave [2] ups and downs,1820.0
22,涙,なみだ,[1] tear; tears; lachrymal secretion [2] sympathy,1123.0
23,悩む,なやむ,to be worried; to be troubled,1188.0
24,何で,なんで,[1] why?; what for? [2] how?; by what means?,
25,何でも,なんでも,[1] any; anything; whatever; whatever one likes; everything; all [2] I am told; I hear; I understand; they say,1626.0
26,何とか,なんとか,[1] something; something or other; so-and-so [2] somehow; anyhow; one way or another,1210.0
27,似合う,にあう,to suit; to match; to become; to be like,4107.0
28,匂い,におい,"[1] smell; scent; odour; odor; stench [2] aura; whiff; smack; flavour; flavor; mood [3] faint, mist-like pattern along the temper line of a Japanese sword",1081.0
29,苦手,にがて,[1] poor (at); weak (in); not very good (at) [2] not one's cup of tea; not one's favorite,2311.0
30,握る,にぎる,[1] to clasp; to grasp; to grip; to clutch [2] to hold (the answer); to have (e.g. the solution); to be the key; to be the reason [3] to seize (power); to hold (the reins); to dominate; to control,1727.0
31,日,にち,[1] Sunday [2] nth day (of the month) [3] counter for days,
32,日常,にちじょう,everyday; daily; ordinary; usual; routine; regular,2167.0
33,日曜,にちよう,Sunday,4382.0
34,日光,にっこう,[1] sunlight; sunshine; sunbeams [2] Nikkō (city in Tochigi),
35,,にっこり,sweetly (smiling); broadly (grinning),
36,日中,にっちゅう,[1] daytime; during the day [2] Japan and China; Japanese-Chinese; Sino-Japanese [3] Nicchuu,4944.0
37,日本,にほん,Japan,120.0
38,入場,にゅうじょう,entrance; entering; admission; admittance,
39,人気,にんき,[1] popularity; public favor [2] condition (e.g. market); tone; character; nature,1065.0
40,人間,にんげん,[1] human being; human; person; man; mankind; humankind [2] character (of a person),180.0
41,抜く,ぬく,[10] to cut out (a shape); to create (a pattern) by dying the surrounding area [11] to seize; to capture; to reduce [12] to scoop (a story),1463.0
42,抜ける,ぬける,[1] to come out; to fall out; to be omitted; to be missing; to escape; to come loose [2] to fade; to discolour [3] to wear a hole (e.g. clothes),1470.0
43,布,ぬの,[1] cloth; fabric; material; textile [2] bujian (spade-shaped bronze coin of ancient China),2436.0
44,根,ね,"[1] root (of a plant) [2] root (of a tooth, hair, etc.); center (of a pimple, etc.) [3] root (of all evil, etc.); source; origin; cause; basis",2438.0
45,願い,ねがい,[1] desire; wish; hope [2] request; entreaty; plea; appeal [3] prayer,2113.0
46,願う,ねがう,[1] to desire; to wish; to hope [2] to beg; to request; to implore; to pray [3] to have something done for oneself,462.0
47,鼠,ねずみ,[1] mouse; rat [2] dark gray; slate gray,3720.0
48,熱心,ねっしん,zealous; enthusiastic; ardent; fervent; keen; eager,3190.0
49,熱帯,ねったい,tropics,
50,熱中,ねっちゅう,being enthusiastic about; being wild about; being absorbed in; being engrossed in; being devoted to,
51,年間,ねんかん,[1] (period of) a year [2] during the era (of),2611.0
52,年中,ねんじゅう,[1] whole year; all year round; throughout the year [2] always; all the time; perpetually [3] during an era,
53,年代,ねんだい,age; era; period; date,2649.0
54,年齢,ねんれい,age; years,1058.0
55,野,の,[1] plain; field [2] hidden (structural) member [3] wild,
56,能,のう,[1] talent; gift; function [2] noh (theatre),
57,農家,のうか,[1] farmer; farming family [2] farmhouse [3] School of Agrarianism (China); School of Agronomists,2449.0
58,農業,のうぎょう,agriculture; farming,2441.0
59,農民,のうみん,farmer; peasant,4375.0
60,能力,のうりょく,ability; faculty,1299.0
61,軒,のき,[1] eaves [2] narrow aisle surrounding the core of a temple building,
62,残す,のこす,[1] to leave (behind) [2] to leave (undone); to not finish [3] to save; to set aside; to reserve,392.0
63,残り,のこり,remainder; remnant; the rest; what is left; balance; leftovers,1724.0
64,乗せる,のせる,[1] to place on (something) [2] to give (someone) a ride; to give a lift; to pick up; to help on board [3] to load (luggage); to carry; to take on board,781.0
65,除く,のぞく,"[1] to remove; to get rid of; to take away; to eliminate [2] to exclude; to except; to leave out; to omit [3] to kill (a traitor, opponent, etc.)",1824.0
66,望み,のぞみ,[1] wish; desire; hope [2] prospect; expectation; (one's) hopes,
67,望む,のぞむ,[1] to desire; to want; to wish for; to hope for [2] to expect (of someone); to hope for; to look forward to [3] to see; to command (a view of); to overlook,1547.0
68,後,のち,[1] later; afterwards [2] future [3] after one's death,1598.0
69,,ノック,[1] knock; knocking [2] fungo hitting; hitting balls for fielding practice [3] tap; click (e.g. of a retractable pen or mechanical pencil),
70,喉,のど,[1] throat [2] singing voice [3] gutter (inner margins of a book),2129.0
71,伸ばす,のばす,"[1] to grow long (e.g. hair, nails) [2] to lengthen; to extend; to stretch [3] to reach out; to hold out",1149.0
72,伸びる,のびる,"[1] to stretch; to extend; to lengthen; to grow (of hair, height, grass, etc.) [2] to straighten out; to be flattened; to become smooth [3] to spread (of paint, cream, etc.)",1184.0
73,述べる,のべる,to state; to express; to say; to tell; to mention,630.0
74,,のんびり,at leisure; in a relaxed manner; in a carefree manner; quietly; peacefully,2319.0
75,,ノー,[1] no [2] no; without; not needed; not allowed,
0,,はあ,[1] yes; indeed; well [2] ha! [3] what?; huh?,2656.0
1,灰,はい,ash; ashes,502.0
2,,ハイキング,hiking,
3,配達,はいたつ,delivery,
4,俳優,はいゆう,actor; actress; player; performer,4290.0
5,墓,はか,grave; gravesite; tomb,2378.0
6,博士,はかせ,[1] expert; learned person [2] doctor; PhD; Dr. [3] instructor at the imperial court (ritsuryō period),
7,計る,はかる,"[1] to measure; to weigh; to survey; to time (sound, gauge, estimate) [2] to conjecture; to infer; to surmise",
8,測る,はかる,"[1] to measure; to weigh; to survey; to time (sound, gauge, estimate) [2] to conjecture; to infer; to surmise",2845.0
9,吐く,はく,[1] to vomit; to throw up; to spit up [2] to emit; to send forth; to breathe out [3] to give (an opinion); to make (a comment); to express; to tell,2290.0
10,履く,はく,"[1] to put on (lower-body clothing, e.g. pants, skirt, footwear); to wear [2] to affix (a sword to one's hip) [3] to affix (a bowstring to a bow)",1828.0
11,拍手,はくしゅ,[1] clapping hands; applause [2] clapping one's hands in prayer (at a shrine),
12,博物館,はくぶつかん,[1] museum [2] Hakubutsukan,
13,激しい,はげしい,[1] violent; furious; tempestuous [2] extreme; intense; fierce; strong [3] fervent; vehement,1015.0
14,鋏,はさみ,[1] scissors; shears; clippers [2] hole punch,
15,破産,はさん,bankruptcy; insolvency,
16,端,はし,[1] end (e.g. of street); tip; point; edge; margin [2] beginning; start; first [3] odds and ends; scrap; odd bit; least,2255.0
17,始まり,はじまり,origin; beginning; start,3069.0
18,外す,はずす,[1] to remove; to take off; to detach; to unfasten; to undo [2] to drop (e.g. from a team); to remove (from a position); to exclude; to expel [3] to leave (e.g. one's seat); to go away from; to step out; to slip away,1625.0
19,旗,はた,[1] flag [2] pataka (banner) [3] banner (administrative division of Inner Mongolia),
20,畑,はたけ,"[1] field (for growing wheat, fruit, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation [2] field (of specialization); sphere; area; line [3] womb; birth; birthplace",1827.0
21,働き,はたらき,[1] work; labor; labour [2] achievement; performance; ability; talent [3] salary; income; earnings,2185.0
22,肌,はだ,[1] skin [2] body (in the context of intimate bodily contact) [3] surface; grain (e.g. of wood); texture,1706.0
23,裸,はだか,[1] nakedness; nudity [2] bareness; nakedness; baldness; being uncovered [3] being penniless,3984.0
24,発見,はっけん,discovery; detection; finding,843.0
25,発行,はっこう,"[1] publication (of a newspaper, magazine, book, etc.); issue [2] issue (of banknotes, bonds, passport, etc.) [3] raising (an event)",2280.0
26,発車,はっしゃ,"departure (of a train, car, etc.); starting; leaving",
27,発達,はったつ,development; growth,1631.0
28,発展,はってん,"[1] development; growth; expansion; extension; flourishing [2] development (of a situation, story, etc.); advancement; progression; unfolding [3] playing around (sexually; esp. of a male homosexual); having an active sex life",914.0
29,発表,はっぴょう,announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling,992.0
30,発明,はつめい,[1] invention [2] intelligent; clever; smart,3704.0
31,話し合う,はなしあう,to discuss; to talk together,2285.0
32,放す,はなす,"[1] to release; to let go; to free; to set free; to let loose; to turn loose [2] to add (pieces of eggplant, potato, etc.) to water, broth, etc.",
